x;y;comuna
108402.3787020289;102541.88704146865;1
106246.17999144198;104771.69977166525;2
105559.29436461649;101711.78629488533;3
106826.52595022447;98553.31072179864;4
103915.43851465608;101321.46835206378;5
101806.39684470932;101380.38593932427;6
101043.13697767901;99193.845801924501;7
100102.64757794906;94987.219385688746;8
96718.360601520792;97508.889376569699;9
96371.219811770556;100160.16266830849;10
96920.018671276877;102570.12857942824;11
97510.480315484834;106983.32701098744;12
100839.50312037051;108276.11154015108;13
103749.68438275602;106141.46518555065;14
100044.89568634378;104149.40465151974;15